Name (Country);Citable documents_2018;Citable documents_2019;Citable documents_2020;Citable documents_2021;Citable documents_2022;Citable documents_total
Sao Tome and Principe;;5;3;7;5;20
Saudi Arabia;5625;6267;8502;11237;13797;45428
Senegal;300;314;339;388;376;1717
Serbia;2003;2227;2161;2579;2593;11563
Seychelles;16;18;29;29;25;117
Sierra Leone;101;113;123;192;189;718
Singapore;4838;5300;6200;6891;7127;30356
Slovakia;1450;1546;1798;1896;1805;8495
Slovenia;1405;1467;1733;2106;2112;8823
Solomon Islands;30;18;32;29;15;124
Somalia;15;32;59;81;197;384
South Africa;6132;6602;7540;8400;8724;37398
South Georgia and the South Sandwich Islands;1;;1;1;;3
South Korea;24168;24818;26921;30311;29505;135723
Spain;26328;27865;31958;36734;35878;158763
Sri Lanka;670;768;831;957;1067;4293
Sudan;311;361;465;624;723;2484
Suriname;38;25;28;33;19;143
Svalbard and Jan Mayen;;1;;;;1
Swaziland;59;56;63;53;81;312
Sweden;13417;14007;15079;16657;16423;75583
Switzerland;15810;16517;18366;20873;20317;91883
Syrian Arab Republic;179;180;238;362;520;1479
Taiwan;9110;10150;10922;12844;14257;57283
Tajikistan;35;48;41;67;43;234
Tanzania;774;907;1058;1194;1216;5149
Thailand;5053;5190;6120;7227;7858;31448
Timor-Leste;19;18;27;15;19;98
Togo;102;105;77;110;115;509
Tonga;5;5;10;7;10;37
Trinidad and Tobago;135;152;154;174;166;781
Tunisia;1605;1622;1751;1998;2262;9238
Turkey;14579;16087;18787;22989;24487;96929
Turkmenistan;1;3;1;14;2;21
Turks and Caicos Islands;2;;1;;3;6
Tuvalu;1;1;;;2;4
Uganda;998;1114;1240;1643;1661;6656
Ukraine;1565;2315;2755;3402;3104;13141
United Arab Emirates;1317;1488;1977;2780;3367;10929
United Kingdom;58087;60189;65609;74608;72384;330877
United States;212663;215723;231390;252115;244371;1156262
United States Minor Outlying Islands;0;;;;;0
Uruguay;504;465;546;688;610;2813
Uzbekistan;63;88;295;516;324;1286
Vanuatu;7;14;10;19;22;72
Vatican City State;1;2;1;2;3;9
Venezuela;462;583;463;571;430;2509
Viet Nam;1312;1790;2218;2794;2638;10752
Virgin Islands (British);;1;1;2;1;5
Virgin Islands (U.S.);5;3;2;4;6;20
Wallis and Futuna;;1;2;0;;3
Western Sahara;;;;1;;1
Yemen;139;192;179;269;389;1168
Zambia;316;334;449;520;583;2202
Zimbabwe;309;363;423;521;517;2133
