Rank;Country;Region;Documents;Citable documents;Citations;Self-citations;Citations per document;H index
1;United States;Northern America;277123;244371;295603;125322;1.07;1910
2;China;Asiatic Region;236569;228595;222813;144908;0.94;705
3;United Kingdom;Western Europe;82900;72384;117603;27720;1.42;1314
4;Germany;Western Europe;65082;57079;76129;19040;1.17;1096
5;India;Asiatic Region;59099;52241;54803;18936;0.93;528
6;Italy;Western Europe;57219;49655;80072;25646;1.4;984
7;Japan;Asiatic Region;52931;48007;43355;11664;0.82;796
8;Canada;Northern America;48800;43756;61804;12271;1.27;1111
9;Australia;Pacific Region;45180;40359;58172;12982;1.29;935
10;France;Western Europe;40413;35708;51654;9561;1.28;1045
11;Spain;Western Europe;39646;35878;51086;10246;1.29;824
12;South Korea;Asiatic Region;31113;29505;32255;6891;1.04;537
13;Brazil;Latin America;30254;27792;28382;6316;0.94;557
14;Netherlands;Western Europe;29966;27220;44834;7295;1.5;992
15;Turkey;Middle East;26182;24487;22051;4516;0.84;397
16;Iran;Middle East;24707;23784;25237;7076;1.02;296
17;Switzerland;Western Europe;22681;20317;33029;4922;1.46;870
18;Russian Federation;Eastern Europe;21304;20902;13954;3720;0.65;399
19;Sweden;Western Europe;17670;16423;27473;3973;1.55;805
20;Poland;Eastern Europe;16769;15942;20123;4112;1.2;518
21;Taiwan;Asiatic Region;15439;14257;16660;3499;1.08;431
22;Belgium;Western Europe;15169;13745;24604;3161;1.62;789
23;Saudi Arabia;Middle East;14137;13797;21626;6124;1.53;297
24;Denmark;Western Europe;13710;12700;20666;3062;1.51;716
25;Egypt;Africa/Middle East;13491;12986;15154;4378;1.12;261
26;Pakistan;Asiatic Region;10934;10142;15570;4323;1.42;275
27;Austria;Western Europe;10869;9687;15690;2388;1.44;605
28;Portugal;Western Europe;10729;9669;13194;2045;1.23;440
29;Israel;Middle East;9694;8911;14709;1831;1.52;588
30;South Africa;Africa;9475;8724;14012;2444;1.48;444
31;Norway;Western Europe;9354;8763;12760;1963;1.36;591
32;Greece;Western Europe;9177;8143;13922;2071;1.52;492
33;Mexico;Latin America;8942;8295;10066;1313;1.13;393
34;Malaysia;Asiatic Region;8700;8268;11235;2000;1.29;287
35;Thailand;Asiatic Region;8568;7858;8698;1749;1.02;335
36;Hong Kong;Asiatic Region;7968;7380;14792;2078;1.86;464
37;Singapore;Asiatic Region;7909;7127;12858;1544;1.63;446
38;Ireland;Western Europe;7815;7026;10896;1397;1.39;486
39;Indonesia;Asiatic Region;7427;7269;4760;1191;0.64;195
40;Finland;Western Europe;6999;6561;10106;1419;1.44;597
41;New Zealand;Pacific Region;6331;5784;7777;1198;1.23;485
42;Czech Republic;Eastern Europe;6253;5879;7976;1089;1.28;443
43;Colombia;Latin America;5481;5014;5195;779;0.95;276
44;Chile;Latin America;5068;4684;6490;892;1.28;314
45;Nigeria;Africa;4839;4468;5649;1218;1.17;208
46;Romania;Eastern Europe;4817;4610;7358;1564;1.53;282
47;Argentina;Latin America;4780;4350;5628;586;1.18;392
48;Ethiopia;Africa;4232;4131;3191;705;0.75;152
49;Hungary;Eastern Europe;4126;3939;5961;853;1.44;406
50;United Arab Emirates;Middle East;3612;3367;5478;754;1.52;192
51;Bangladesh;Asiatic Region;3544;3328;7219;1698;2.04;213
52;Ukraine;Eastern Europe;3251;3104;2220;450;0.68;201
53;Croatia;Eastern Europe;2953;2704;3581;511;1.21;253
54;Iraq;Middle East;2944;2859;3171;956;1.08;116
55;Serbia;Eastern Europe;2795;2593;3831;412;1.37;240
56;Viet Nam;Asiatic Region;2733;2638;4350;584;1.59;200
57;Peru;Latin America;2650;2332;2882;565;1.09;229
58;Tunisia;Africa;2476;2262;2415;389;0.98;181
59;Jordan;Middle East;2467;2397;3446;635;1.4;149
60;Morocco;Africa;2286;2128;2244;462;0.98;154
61;Slovenia;Eastern Europe;2241;2112;3423;377;1.53;262
62;Qatar;Middle East;2197;2052;3957;554;1.8;179
63;Kenya;Africa;2182;2041;2889;428;1.32;237
64;Lebanon;Middle East;2156;1963;2474;447;1.15;219
