Rank;Country;Region;Documents;Citable documents;Citations;Self-citations;Citations per document;H index
1;United States;Northern America;270098;231390;3038611;1186895;11.25;1910
2;China;Asiatic Region;169565;162603;2091743;1001580;12.34;705
3;United Kingdom;Western Europe;77905;65609;1107083;219672;14.21;1314
4;Germany;Western Europe;59712;51578;698203;136652;11.69;1096
5;Italy;Western Europe;54777;46060;795894;191704;14.53;984
6;Japan;Asiatic Region;47705;43245;376320;80811;7.89;796
7;Canada;Northern America;44295;38650;576315;88208;13.01;1111
8;India;Asiatic Region;43863;37058;325928;92858;7.43;528
9;Australia;Pacific Region;39793;34814;535950;88737;13.47;935
10;France;Western Europe;39494;34180;510535;74344;12.93;1045
11;Spain;Western Europe;36103;31958;444755;74670;12.32;824
12;Brazil;Latin America;29213;26640;251656;54164;8.61;557
13;South Korea;Asiatic Region;28753;26921;292317;48123;10.17;537
14;Netherlands;Western Europe;28166;25055;414129;54554;14.7;992
15;Iran;Middle East;21683;20308;182285;48214;8.41;296
16;Switzerland;Western Europe;21089;18366;308278;34348;14.62;870
17;Turkey;Middle East;20800;18787;142638;22221;6.86;397
18;Russian Federation;Eastern Europe;19977;19525;112726;26213;5.64;399
19;Sweden;Western Europe;16352;15079;221970;27074;13.57;805
20;Poland;Eastern Europe;14238;13385;147708;24873;10.37;518
21;Belgium;Western Europe;14076;12500;220182;22009;15.64;789
22;Denmark;Western Europe;12534;11432;185616;20626;14.81;716
23;Taiwan;Asiatic Region;12031;10922;130251;18149;10.83;431
24;Austria;Western Europe;9876;8739;133755;13363;13.54;605
25;Egypt;Africa/Middle East;9540;9132;89083;16276;9.34;261
26;Saudi Arabia;Middle East;8938;8502;107860;18713;12.07;297
27;Portugal;Western Europe;8854;7807;108655;12113;12.27;440
28;Mexico;Latin America;8739;8028;76720;8657;8.78;393
29;South Africa;Africa;8264;7540;97358;15393;11.78;444
30;Israel;Middle East;8168;7399;116536;9540;14.27;588
31;Greece;Western Europe;8158;6824;112808;11319;13.83;492
32;Norway;Western Europe;7937;7370;110522;11137;13.92;591
33;Pakistan;Asiatic Region;7605;7094;77638;15423;10.21;275
34;Singapore;Asiatic Region;7190;6200;143185;10632;19.91;446
35;Ireland;Western Europe;6677;5794;95508;8436;14.3;486
36;Thailand;Asiatic Region;6562;6120;59995;8119;9.14;335
