Rank;Country;Region;Documents;Citable documents;Citations;Self-citations;Citations per document;H index
196;Antigua and Barbuda;Latin America;8;8;14;0;1.75;19
197;Kiribati;Pacific Region;8;8;21;2;2.63;12
198;Curaçao;Latin America;8;7;30;5;3.75;10
199;Anguilla;Latin America;8;8;370;3;46.25;22
200;Cayman Islands;Latin America;7;7;78;3;11.14;24
201;Aruba;Latin America;7;6;27;3;3.86;19
202;Equatorial Guinea;Africa;6;6;91;27;15.17;31
203;Djibouti;Africa;6;6;52;1;8.67;23
204;Republic of South Sudan;Africa;6;6;28;2;4.67;20
205;Falkland Islands (Malvinas);Latin America;6;5;37;2;6.17;14
206;Sao Tome and Principe;Africa;5;5;10;1;2;17
207;Tonga;Pacific Region;5;5;52;4;10.4;29
208;Netherlands Antilles;Latin America;4;4;11;0;2.75;47
209;Federated States of Micronesia;Pacific Region;4;4;24;1;6;32
210;Virgin Islands (U.S.);Latin America;4;3;35;1;8.75;22
211;Mayotte;Africa;4;3;15;0;3.75;12
212;Turkmenistan;Asiatic Region;3;3;142;4;47.33;14
213;Marshall Islands;Pacific Region;2;2;19;1;9.5;18
214;Cook Islands;Pacific Region;2;2;31;1;15.5;11
215;British Indian Ocean Territory;Africa;2;2;33;0;16.5;4
216;Vatican City State;Western Europe;2;2;81;1;40.5;5
217;Palau;Pacific Region;2;2;54;8;27;20
218;Northern Mariana Islands;Asiatic Region;2;2;7;0;3.5;11
219;Nauru;Pacific Region;2;1;5;0;2.5;10
220;American Samoa;Pacific Region;2;2;22;0;11;23
221;Montserrat;Latin America;1;0;3;0;3;4
222;Wallis and Futuna;Pacific Region;1;1;2;0;2;6
223;Niue;Pacific Region;1;1;7;0;7;5
224;Tuvalu;Pacific Region;1;1;30;0;30;7
225;Saint Helena;Africa;1;1;1;1;1;6
226;Svalbard and Jan Mayen;Western Europe;1;1;11;0;11;2
227;Virgin Islands (British);Latin America;1;1;11;0;11;11
228;Gibraltar;Western Europe;1;1;0;0;0;15
