Rank;Country;Region;Documents;Citable documents;Citations;Self-citations;Citations per document;H index
103;Puerto Rico;Latin America;446;414;2285;102;5.12;187
104;Senegal;Africa;421;388;1514;173;3.6;123
105;Mozambique;Africa;412;388;3511;251;8.52;117
106;Syrian Arab Republic;Middle East;381;362;1408;127;3.7;86
107;Democratic Republic Congo;Africa;358;345;1978;165;5.53;63
108;Macedonia;Eastern Europe;330;319;3604;103;10.92;120
109;Côte d’Ivoire;Africa;326;313;1144;115;3.51;106
110;Botswana;Africa;315;293;1554;135;4.93;95
111;Myanmar;Asiatic Region;302;287;1187;90;3.93;71
112;Jamaica;Latin America;297;274;1468;63;4.94;100
113;Panama;Latin America;295;276;2234;117;7.57;126
114;Armenia;Eastern Europe;288;274;1202;123;4.17;86
115;Guatemala;Latin America;279;261;1988;132;7.13;100
116;Yemen;Middle East;276;269;1583;151;5.74;72
117;Afghanistan;Asiatic Region;275;209;1169;259;4.25;55
118;Congo;Africa;272;250;1539;91;5.66;100
119;Benin;Africa;265;260;1181;122;4.46;94
120;Azerbaijan;Eastern Europe;260;253;1481;64;5.7;69
121;Cambodia;Asiatic Region;250;233;1055;107;4.22;110
122;Albania;Eastern Europe;247;235;2724;199;11.03;73
123;Mali;Africa;235;220;1197;101;5.09;100
124;Bolivia;Latin America;230;197;1103;65;4.8;97
125;Grenada;Latin America;228;214;879;137;3.86;63
126;Dominican Republic;Latin America;216;209;860;42;3.98;79
127;Libya;Africa;214;194;1747;75;8.16;69
128;Gambia;Africa;211;195;1187;87;5.63;135
129;Paraguay;Latin America;208;193;1201;69;5.77;86
130;Sierra Leone;Africa;203;192;1127;119;5.55;73
131;Kyrgyzstan;Asiatic Region;191;182;1759;57;9.21;69
132;Madagascar;Africa;187;179;1076;85;5.75;82
133;Trinidad and Tobago;Latin America;187;174;710;85;3.8;91
134;Mongolia;Asiatic Region;185;176;1112;60;6.01;82
135;Brunei Darussalam;Asiatic Region;175;164;1083;110;6.19;67
136;Moldova;Eastern Europe;170;161;932;44;5.48;82
137;Namibia;Africa;170;159;777;88;4.57;68
138;Montenegro;Eastern Europe;166;158;566;53;3.41;47
139;Gabon;Africa;162;147;727;80;4.49;97
140;Laos;Asiatic Region;152;146;570;81;3.75;81
141;Monaco;Western Europe;141;124;787;48;5.58;91
142;Fiji;Pacific Region;134;121;702;79;5.24;67
143;Honduras;Latin America;129;117;1905;56;14.77;70
144;Guinea;Africa;124;114;368;29;2.97;70
145;Mauritius;Africa;120;107;639;35;5.33;68
146;Togo;Africa;115;110;454;34;3.95;54
147;Liberia;Africa;110;101;449;21;4.08;54
148;Papua New Guinea;Pacific Region;107;102;929;62;8.68;90
149;Bhutan;Asiatic Region;105;99;487;54;4.64;41
150;Barbados;Latin America;99;87;477;24;4.82;78
151;Haïti;Latin America;98;93;564;28;5.76;69
152;Niger;Africa;97;94;467;29;4.81;69
153;Somalia;Africa;86;81;299;37;3.48;28
154;El Salvador;Latin America;84;75;358;23;4.26;67
155;Saint Kitts and Nevis;Latin America;83;79;243;30;2.93;41
156;Nicaragua;Latin America;79;76;258;22;3.27;78
157;French Guiana;Latin America;74;70;426;37;5.76;65
158;Angola;Africa;72;69;197;27;2.74;47
159;Tajikistan;Asiatic Region;67;67;362;22;5.4;37
160;Guinea-Bissau;Africa;55;49;209;54;3.8;68
161;Swaziland;Africa;54;53;195;29;3.61;55
162;Eritrea;Africa;49;48;109;6;2.22;40
163;Chad;Africa;49;45;206;20;4.2;39
164;Samoa;Pacific Region;45;41;109;12;2.42;28
165;Liechtenstein;Western Europe;45;41;265;19;5.89;41
166;Burundi;Africa;45;44;164;6;3.64;45
167;Greenland;Western Europe;43;41;113;33;2.63;53
168;Lesotho;Africa;43;43;125;12;2.91;36
169;New Caledonia;Pacific Region;42;38;150;15;3.57;62
170;Republic of South Sudan;Africa;42;40;168;20;4;20
171;French Polynesia;Pacific Region;41;38;107;15;2.61;63
172;Saint Vincent and the Grenadines;Latin America;39;35;70;0;1.79;17
173;Martinique;Latin America;38;34;119;2;3.13;49
174;Faroe Islands;Western Europe;38;35;307;26;8.08;59
175;Belize;Latin America;37;35;153;8;4.14;28
176;Mauritania;Africa;35;34;159;13;4.54;32
177;Reunion;Africa;35;33;312;1;8.91;45
178;Suriname;Latin America;35;33;89;17;2.54;41
179;San Marino;Western Europe;35;33;234;19;6.69;35
180;Maldives;Asiatic Region;34;29;140;10;4.12;24
181;Guyana;Latin America;33;31;420;3;12.73;39
182;Central African Republic;Africa;31;31;109;5;3.52;50
183;Guadeloupe;Latin America;31;27;63;3;2.03;64
184;North Korea;Asiatic Region;30;30;108;17;3.6;21
185;Seychelles;Africa;30;29;265;3;8.83;48
186;Solomon Islands;Pacific Region;30;29;109;11;3.63;37
187;Bahamas;Latin America;29;27;111;14;3.83;33
188;Bermuda;Latin America;28;24;172;1;6.14;27
189;Aruba;Latin America;24;20;167;6;6.96;19
190;Curaçao;Latin America;22;20;94;8;4.27;10
191;Gibraltar;Western Europe;22;22;137;10;6.23;15
192;Andorra;Western Europe;21;20;137;9;6.52;27
193;Antigua and Barbuda;Latin America;21;18;66;3;3.14;19
