Rank;Country;Region;Documents;Citable documents;Citations;Self-citations;Citations per document;H index
1;United States;Northern America;246480;212663;4473655;1865086;18.15;1910
2;China;Asiatic Region;117290;113516;2018573;1141600;17.21;705
3;United Kingdom;Western Europe;68114;58087;1458035;299659;21.41;1314
4;Germany;Western Europe;53845;47530;997614;203094;18.53;1096
5;Japan;Asiatic Region;44437;40546;573291;125452;12.9;796
6;Italy;Western Europe;41501;35731;857461;192934;20.66;984
7;Canada;Northern America;39923;35260;829239;131002;20.77;1111
8;France;Western Europe;36664;32118;700381;107563;19.1;1045
9;India;Asiatic Region;36411;32111;386832;105002;10.62;528
10;Australia;Pacific Region;35510;31358;787656;134921;22.18;935
11;Spain;Western Europe;29584;26328;566015;92905;19.13;824
12;South Korea;Asiatic Region;25602;24168;429060;69341;16.76;537
13;Netherlands;Western Europe;25451;22763;632110;87448;24.84;992
14;Brazil;Latin America;24789;22926;345062;81426;13.92;557
15;Switzerland;Western Europe;17977;15810;426103;47350;23.7;870
16;Iran;Middle East;16926;16100;207783;57665;12.28;296
17;Turkey;Middle East;16053;14579;167620;25018;10.44;397
18;Sweden;Western Europe;14828;13417;342355;40489;23.09;805
19;Russian Federation;Eastern Europe;14004;13711;114882;28709;8.2;399
20;Belgium;Western Europe;12414;11116;314727;30860;25.35;789
21;Poland;Eastern Europe;12084;11288;205823;30006;17.03;518
22;Denmark;Western Europe;11078;10129;277944;33182;25.09;716
23;Taiwan;Asiatic Region;9852;9110;159462;21870;16.19;431
24;Austria;Western Europe;8125;7187;197977;17780;24.37;605
25;Norway;Western Europe;7467;6746;171202;17401;22.93;591
26;Portugal;Western Europe;7156;6337;144412;15588;20.18;440
27;Israel;Middle East;7151;6403;156147;13105;21.84;588
28;Egypt;Africa/Middle East;6720;6436;97610;16992;14.53;261
29;South Africa;Africa;6683;6132;142363;23463;21.3;444
30;Mexico;Latin America;6633;6091;93401;11884;14.08;393
31;Greece;Western Europe;6589;5726;137400;13121;20.85;492
32;Saudi Arabia;Middle East;5885;5625;101036;14440;17.17;297
33;Czech Republic;Eastern Europe;5543;5188;101810;10011;18.37;443
34;Ireland;Western Europe;5485;4871;122909;11007;22.41;486
35;Singapore;Asiatic Region;5393;4838;133599;11499;24.77;446
36;Thailand;Asiatic Region;5387;5053;72223;9910;13.41;335
37;Pakistan;Asiatic Region;5369;5047;74880;13460;13.95;275
