Year;Count (Non-COVID-19-related);Count (COVID-19-related);Paper-published-total;Count (Total);Normalized (Non-COVID-19-related);Normalized (COVID-19-related)
2018;74;0;1351945;74;5.473595449519026;0.0
2019;83;0;1417896;83;5.853743857095302;0.0
2020;117;7;1640716;124;7.131033036796131;0.42664300220147794
2021;153;40;1786726;193;8.563148462607025;2.238731624210987
