Country;Count (Data origin crossborder);Count (Data origin domestic);Name (Country);Count (Data origin);Distribution (Data origin crossborder);Distribution (Data origin domestic)
US;38;538;"United
States";576.0;18.81188118811881;54.288597376387486
GB;15;184;"United
Kingdom";199.0;7.425742574257426;18.567103935418768
DE;12;35;Germany;47.0;5.9405940594059405;3.5317860746720484
ES;10;12;Spain;22.0;4.9504950495049505;1.2108980827447022
AU;9;53;Australia;62.0;4.455445544554456;5.348133198789102
FR;9;11;France;20.0;4.455445544554456;1.1099899091826437
CA;4;18;Canada;22.0;1.9801980198019802;1.8163471241170535
JP;3;20;Japan;23.0;1.4851485148514851;2.0181634712411705
other;102;120;other;;50.495049504950494;12.108980827447025
